1	736266	965664
1	729273	967523
1	727720	975632
1	731604	976234
1	734083	980873
1	736539	982414
1	743921	988589
1	766937	995927
1	774146	1000111
1	786881	1002831
1	784320	1000327
1	784000	995398
1	781080	989124
1	774489	985601
1	764756	979918
1	754527	975190
1	762139	969292
1	754701	965884
1	747749	965034
1	743875	963868
2	731071	937838
2	726166	938803
2	721024	943121
2	716797	945554
2	714002	952808
2	721270	961726
2	729321	964483
2	732069	968225
2	736358	972787
2	739509	978352
2	732697	995088
2	734247	998267
2	737108	1002725
2	741939	1004691
2	742615	1013335
2	751193	1014800
2	758734	1013480
2	770074	1011512
2	772553	1014147
2	778396	1017460
2	781561	1020382
2	788096	1021281
2	793612	1018816
2	803267	1022696
2	807902	1029089
2	810403	1031256
2	817284	1033413
2	820514	1031742
2	822225	1030132
2	826510	1025583
2	822529	1025914
2	821764	1022472
2	826263	1016383
2	825063	1013920
2	826081	1009243
2	823233	1001495
2	830906	1001133
2	831508	996845
2	840023	994742
2	835834	988954
2	830324	983774
2	826620	983654
2	817341	975445
2	814638	977789
2	811716	974464
2	807769	970298
2	797252	973215
2	795211	969184
2	794089	965281
2	785913	964434
2	779313	964985
2	771959	965274
2	768444	960098
2	761772	958083
2	755744	959774
2	743774	953024
2	738856	954123
2	731629	949233
2	735997	943124
2	740471	942260
2	738613	936649
