641944.33  1111915.35,641949.88  1111860.73,641940.49  1111859.65,641934.95  1111914.34,641944.33  1111915.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642129.27  1111894.92,642134.52  1111894.98,642134.62  1111885.33,642129.37  1111885.28,642129.27  1111894.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641958.26  1111815.3,641959.33  1111804.11,641946.11  1111802.85,641940.71  1111857.68,641954.07  1111859.21,641958.26  1111815.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642151.02  1111836.59,642149.43  1111837.91,642151.81  1111840.79,642148.51  1111843.45,642151.01  1111846.43,642155.18  1111851.77,642160.33  1111847.7,642156.55  1111843.22,642151.02  1111836.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642154.49  1111819.37,642140.86  1111817.68,642139.2  1111830.52,642152.96  1111832.1,642154.49  1111819.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641964.12  1111802.16,641969.58  1111802.39,641969.01  1111814.58,642065.84  1111819.05,642065.83  1111819.35,642074.25  1111819.75,642074.91  1111804.79,642077.61  1111804.95,642077.73  1111802.76,642075.03  1111802.62,642075.42  1111794.46,642066.98  1111794.06,642066.97  1111794.36,641970.15  1111789.88,641969.74  1111799.15,641964.3  1111798.93,641963.71  1111798.91,641963.54  1111802.14,641964.12  1111802.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642295.969929729  1112084.04076787,642290.24  1112084.88,642296.03  1112126.99,642300.840627357  1112126.3512445,642295.969929729  1112084.04076787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642255.2  1112045.25,642263.83  1112046.65,642265.12  1112039.29,642244.95  1112036,642243.74  1112043.4,642252.77  1112044.86,642255.2  1112045.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642234.12  1112003.42,642233.52  1112008.97,642238.74  1112009.53,642240.51  1112009.65,642241.1  1112004.22,642239.36  1112003.97,642234.12  1112003.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642263.76  1111986.27,642257.58  1111986.97,642258.07  1111990.63,642264.25  1111989.97,642263.76  1111986.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642235.78  1111875.38,642244.49  1111859.24,642245.92  1111856.58,642245.71  1111853.84,642245.35  1111849.28,642242.46  1111849.41,642233.09  1111849.71,642229.72  1111855.92,642236.04  1111859.35,642232.88  1111865.18,642226.57  1111861.76,642222.97  1111868.23,642235.78  1111875.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642222.05  1111826.01,642215.17  1111832.62,642198.76  1111848.4,642211.97  1111861.8,642212.53  1111861.39,642219.58  1111854.47,642214.02  1111848.73,642221.64  1111841.22,642219.45  1111839.01,642222.52  1111836.12,642224.07  1111834.64,642227.27  1111831.51,642226.38  1111830.59,642222.05  1111826.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
